Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-022091,2020-08,05/25/2020 21:39,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,930,N. KINGSHIGHWAY,53, , , , ,0,0
20-023643,2020-08,05/26/2020 12:00,Y, , ,1, , 91124,6,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",5343,CONDE ST,66, , ,5343,CONDE,901868.2,1035550
20-038028,2020-08,05/27/2020 06:36,Y, , ,1, ,262100,1,PORNAGRAPHY-PROMOTING,5238,ALASKA AVE,1, , ,5238,ALASKA,891920.3,996046.2
20-039294,2020-08,05/27/2020 07:10,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-036827,2020-08,05/27/2020 08:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,906,OLIVE ST,35, ,SUITE P.H,906,OLIVE,907628.1,1017928
20-022475,2020-08,05/27/2020 17:48,Y, , ,1, , 51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,2839,ABNER PL,50, , ,2839,ABNER,887480.6,1034512
20-035629,2020-08,05/27/2020 23:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1900,BIDDLE ST,61, , ,1900,BIDDLE,0,0
20-037717,2020-08,05/28/2020 08:00,Y, , ,1, , 72113,3,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,2210,S 7TH ST,20, ,PENSKE,1300,SPRUCE,905071.1,1009131
20-038833,2020-08,05/28/2020 08:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3500,LEMP AVE,18, , ,3500,LEMP,900612.3,1004133
20-022572,2020-08,05/28/2020 13:21,Y, , ,1, ,262100,6,PORNAGRAPHY-PROMOTING,4935,DAVISON AVE,72, , ,4925,DAVISON,890660.9,1041288
20-035846,2020-08,05/29/2020 23:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1410,OHIO,31, , ,1410,OHIO,0,0
20-038733,2020-08,05/31/2020 12:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1520,WASHINGTON AVE,36, , ,1520,WASHINGTON,905250.6,1019322
20-034574,2020-08,06/01/2018 03:00,Y, , ,1, ,175500,1,SEX OFFNS-SX MISCONDUCT/FIRST,3900,HOLLY HILLS BLVD,80, ,EXACT LOCATION UNKNOWN. OCCURRED IN,3900,HOLLY HILLS,0,0
20-029689,2020-08,06/01/2020 00:01,Y, , ,1, ,262200,1,PORNAGRAPHY-FURNISHING TO MINOR,6705,PARKWOOD PL,4, ,VICTIM S RESIDENCE,6705,PARKWOOD,883771.1,995796.1
